nome,idade,email,genero,cep,cidade_estado,bairro,user_ativo,produto,produto_valor,data_compra
Christopher Reid,31,anafreisa.teste@gmail.com,M,89709170,Concórdia/SC,Guilherme Reich,1,Vodka,33.8,2021-03-31
Dr. Madison Sanders,59,anafreisa.teste@gmail.com,M,18686452,Lençóis Paulista/SP,Residencial Spazio Verde,1,Vinho Branco,56.9,2021-03-26
Kyle Barnett,37,anafreisa.teste@gmail.com,F,26515020,Nilópolis/RJ,Cabral,0,Vinho Tinto,69.9,2021-01-31
Mark York,64,anafreisa.teste@gmail.com,F,8560570,Poá/SP,Biritiba,0,whisky,129.0,2021-02-22
Susan Roberts,42,anafreisa.teste@gmail.com,M,25585230,São João de Meriti/RJ,Parque Araruama,0,Cerveja,4.0,2021-03-22
Kathryn Arellano,51,anafreisa.teste@gmail.com,M,74933665,Aparecida de Goiânia/GO,Jardim Helvécia Complemento,1,Vinho Branco,56.9,2021-03-30
Michele Kerr,39,anafreisa.teste@gmail.com,F,36090100,Juiz de Fora/MG,Benfica,0,Tequila,95.99,2021-03-04
Pamela Solomon,38,anafreisa.teste@gmail.com,M,73065163,Brasília/DF,Setor Oeste (Sobradinho II),0,Refrigerante Guaraná,2.3,2021-03-13
Teresa Reynolds,26,anafreisa.teste@gmail.com,F,62031250,Sobral/CE,Cidade Doutor José Euclides Ferreira Gomes Junior,0,Cerveja,4.0,2021-03-02
Aaron Scott,50,anafreisa.teste@gmail.com,F,25911264,Magé/RJ,Andorinhas (Santo Aleixo),0,whisky,129.0,2021-03-07
Donna Turner,31,anafreisa.teste@gmail.com,M,85010310,Guarapuava/PR,Centro,0,Vinho Branco,56.9,2021-03-19
Stephanie Jones,61,anafreisa.teste@gmail.com,F,67143135,Ananindeua/PA,Maguari,0,Vinho Tinto,69.9,2021-03-11
Walter Patrick,42,anafreisa.teste@gmail.com,F,35053042,Governador Valadares/MG,Altinópolis,0,Cerveja,4.0,2021-03-07
Megan Hampton,57,anafreisa.teste@gmail.com,M,4886100,São Paulo/SP,Chácara Santo Hubertus,0,Vodka,33.8,2021-03-04
Gregory Murphy,60,anafreisa.teste@gmail.com,M,25265110,Duque de Caxias/RJ,Jardim Anhangá,0,Vinho Branco,56.9,2021-03-04
Dana West,38,anafreisa.teste@gmail.com,M,22631004,Rio de Janeiro/RJ,Barra da Tijuca,0,Cerveja,4.0,2021-03-02
Samantha Lucas,46,anafreisa.teste@gmail.com,M,12515210,Guaratinguetá/SP,Pedregulho,1,whisky,129.0,2021-03-29
Daniel Anderson,35,anafreisa.teste@gmail.com,F,45075500,Vitória da Conquista/BA,Ibirapuera,1,Vinho Branco,56.9,2021-03-26
Victoria Davis,64,anafreisa.teste@gmail.com,M,31650660,Belo Horizonte/MG,Jardim dos Comerciários (Venda Nova),0,whisky,129.0,2021-02-25
Ashley Gardner,68,anafreisa.teste@gmail.com,M,24460530,São Gonçalo/RJ,Mutuá,0,Vinho Branco,56.9,2021-03-14
Emily Levine,62,anafreisa.teste@gmail.com,F,68752000,Araquaim (Curuçá)/PA  - Distrito,,0,Vinho Branco,56.9,2021-03-12
Laura Booth,29,anafreisa.teste@gmail.com,F,14165505,Sertãozinho/SP,Jardim Santa Luzia,0,whisky,129.0,2021-02-14
Kevin Hart,45,anafreisa.teste@gmail.com,F,35575973,Baiões (Formiga)/MG  - Distrito,Centro,0,Cerveja,4.0,2021-03-19
Jimmy Smith,43,anafreisa.teste@gmail.com,F,2814180,São Paulo/SP,Jardim Paulistano (Zona Norte),1,Refrigerante Guaraná,2.3,2021-03-30
Becky Singleton,32,anafreisa.teste@gmail.com,M,79084421,Campo Grande/MS,Conjunto Aero Rancho,1,Refrigerante Guaraná,2.3,2021-03-23
Jose Rogers,31,anafreisa.teste@gmail.com,M,69400659,Manacapuru/AM,São José,0,Cerveja,4.0,2021-03-05
Kara Mccann,38,anafreisa.teste@gmail.com,F,5174020,São Paulo/SP,Vila Pirituba,0,Tequila,95.99,2021-02-23
Candace Valdez,37,anafreisa.teste@gmail.com,F,61944770,Maranguape/CE,Novo Maranguape II,0,Refrigerante Guaraná,2.3,2021-03-12
Jessica Gonzalez,30,anafreisa.teste@gmail.com,F,89282055,São Bento do Sul/SC,Brasília,0,Cerveja,4.0,2021-03-12
Jonathan Williams,38,anafreisa.teste@gmail.com,F,9330709,Mauá/SP,Vila Feital,0,Vinho Tinto,69.9,2021-02-14
Patrick Hardy,30,anafreisa.teste@gmail.com,F,5704070,São Paulo/SP,Jardim Fonte do Morumbi,0,Refrigerante Cola,3.5,2021-02-02
Barbara Mcdaniel,59,anafreisa.teste@gmail.com,M,2377120,São Paulo/SP,Horto Florestal,0,Vinho Branco,56.9,2021-03-13
Samantha Davidson,61,anafreisa.teste@gmail.com,F,53610252,Igarassu/PE,Centro,1,Vinho Tinto,69.9,2021-03-30
Christopher Sloan,41,anafreisa.teste@gmail.com,M,29065500,Vitória/ES,Mata da Praia,0,Tequila,95.99,2021-03-17
Paul Gonzalez,38,anafreisa.teste@gmail.com,M,6670500,Itapevi/SP,Jardim Nova Cotia,0,Cerveja,4.0,2021-03-11
Stephanie Wright MD,28,anafreisa.teste@gmail.com,F,40301200,Salvador/BA,Barbalho,0,Vinho Tinto,69.9,2021-03-22
Sara Wheeler,66,anafreisa.teste@gmail.com,F,64201180,Parnaíba/PI,Santa Isabel,0,Água,2.29,2021-03-09
Marissa Mason,38,anafreisa.teste@gmail.com,M,58088630,João Pessoa/PB,Oitizeiro,0,Tequila,95.99,2021-03-17
Tristan Walker,39,anafreisa.teste@gmail.com,F,70077900,Brasília/DF,Asa Norte,0,whisky,129.0,2021-03-21
Cynthia Williams,37,anafreisa.teste@gmail.com,M,12310024,Jacareí/SP,Parque dos Príncipes,0,Refrigerante Guaraná,2.3,2021-03-06
Gerald Thompson,39,anafreisa.teste@gmail.com,M,79822664,Dourados/MS,Vila Roma II,0,Vinho Tinto,69.9,2021-03-17
Melissa Roberts,41,anafreisa.teste@gmail.com,M,58308330,Bayeux/PB,Alto da Boa Vista,0,Refrigerante Guaraná,2.3,2021-03-11
Amanda Davis,62,anafreisa.teste@gmail.com,M,13152032,Cosmópolis/SP,Jardim Nova Esperança,1,Vinho Branco,56.9,2021-03-26
Gerald Bush,26,anafreisa.teste@gmail.com,F,3251090,São Paulo/SP,Vila Industrial,0,Refrigerante Cola,3.5,2021-03-07
Angel Williams,56,anafreisa.teste@gmail.com,M,57062027,Maceió/AL,Petrópolis,0,Cerveja,4.0,2021-03-19
Nathaniel Tate,28,anafreisa.teste@gmail.com,F,3938120,São Paulo/SP,Jardim Paraguaçu,0,Vinho Branco,56.9,2021-03-12
Joel Dixon,26,anafreisa.teste@gmail.com,F,40110010,Salvador/BA,Canela,1,Tequila,95.99,2021-03-23
Tara Gill,31,anafreisa.teste@gmail.com,F,67146064,Ananindeua/PA,Maguari,1,Refrigerante Guaraná,2.3,2021-03-28
Samantha Clark,33,anafreisa.teste@gmail.com,M,50610260,Recife/PE,Madalena,0,Vinho Tinto,69.9,2021-03-12
Claudia Parks,34,anafreisa.teste@gmail.com,F,8311210,São Paulo/SP,Parque São Rafael,1,Tequila,95.99,2021-03-23
Holly Anderson MD,26,anafreisa.teste@gmail.com,M,40750715,Salvador/BA,Coutos,0,Tequila,95.99,2021-03-08
Christy Daniel,54,anafreisa.teste@gmail.com,M,4645060,São Paulo/SP,Chácara Monte Alegre,0,Gelo,10.2,2021-03-03
Mary King,53,anafreisa.teste@gmail.com,M,23830235,Itaguaí/RJ,Mazomba,1,Vinho Tinto,69.9,2021-03-28
Michael Lopez,34,anafreisa.teste@gmail.com,F,56508490,Arcoverde/PE,Boa Esperança,0,Refrigerante Guaraná,2.3,2021-03-08
Charles Smith,42,anafreisa.teste@gmail.com,M,66620540,Belém/PA,Marambaia,0,Água,2.29,2021-03-13
John Lamb,47,anafreisa.teste@gmail.com,M,13633585,Pirassununga/SP,Jardim Velloso,0,Tequila,95.99,2021-03-05
Phillip Garcia,27,anafreisa.teste@gmail.com,M,84032458,Ponta Grossa/PR,Cará-cará,1,Refrigerante Guaraná,2.3,2021-03-29
Jeffrey Lamb,52,anafreisa.teste@gmail.com,M,6515205,Santana de Parnaíba/SP,Jardim Rancho Alegre,1,Vinho Tinto,69.9,2021-03-30
Patricia Wilkins MD,30,anafreisa.teste@gmail.com,M,56512140,Arcoverde/PE,São Cristóvão,0,Vodka,33.8,2021-03-20
Lisa Rose,53,anafreisa.teste@gmail.com,M,17063480,Bauru/SP,Jardim Vânia Maria,0,Cerveja,4.0,2021-03-15
Mary Horne,36,anafreisa.teste@gmail.com,F,89260840,Jaraguá do Sul/SC,Jaraguá 84,1,Refrigerante Cola,3.5,2021-03-30
Stephen Roberts,55,anafreisa.teste@gmail.com,M,26187590,Belford Roxo/RJ,Parque Jupiranguai,0,Cerveja,4.0,2021-03-04
Robert Long,68,anafreisa.teste@gmail.com,M,27120280,Barra do Piraí/RJ,Centro,0,Vinho Tinto,69.9,2021-03-07
Jeremy Lopez,49,anafreisa.teste@gmail.com,M,80210120,Curitiba/PR,Jardim Botânico,1,Refrigerante Guaraná,2.3,2021-03-25
Cynthia Lee,19,anafreisa.teste@gmail.com,F,70832060,Brasília/DF,Asa Norte,1,Vinho Tinto,69.9,2021-03-29
Dennis Alexander,40,anafreisa.teste@gmail.com,M,52291037,Recife/PE,Córrego do Jenipapo,0,Cerveja,4.0,2021-03-08
David Jones,59,anafreisa.teste@gmail.com,M,23575170,Rio de Janeiro/RJ,Santa Cruz,0,Refrigerante Guaraná,2.3,2021-03-06
Julie Davis,40,anafreisa.teste@gmail.com,M,37036190,Varginha/MG,Jardim Mont Serrat,0,Cerveja,4.0,2021-03-15
Allison Wilson,42,anafreisa.teste@gmail.com,M,72260681,Brasília/DF,Ceilândia Norte (Ceilândia),1,Vinho Branco,56.9,2021-03-29
John Watson,58,anafreisa.teste@gmail.com,F,20972320,Rio de Janeiro/RJ,Jacaré,0,Água com gás,3.29,2021-03-15
Jessica Simpson,47,anafreisa.teste@gmail.com,M,64218905,Parnaíba/PI,Nova Parnaíba,0,Vinho Branco,56.9,2021-03-02
Sherry Johnson,49,anafreisa.teste@gmail.com,M,40435325,Salvador/BA,Massaranduba,0,whisky,129.0,2021-03-20
Jill Smith,32,anafreisa.teste@gmail.com,M,5426060,São Paulo/SP,Pinheiros,1,Vinho Branco,56.9,2021-03-26
Amanda Kelly,46,anafreisa.teste@gmail.com,F,58085065,João Pessoa/PB,Cruz das Armas,0,Vinho Branco,56.9,2021-03-07
Robert Hoffman,26,anafreisa.teste@gmail.com,M,75148019,Anápolis/GO,Residencial Nova Aliança,0,Água,2.29,2021-03-19
Gerald Brown,46,anafreisa.teste@gmail.com,F,79113070,Campo Grande/MS,Panamá,0,Tequila,95.99,2021-03-21
Robin Chavez,68,anafreisa.teste@gmail.com,M,54762365,Camaragibe/PE,Bairro Novo do Carmelo,0,Vinho Branco,56.9,2021-03-06
